"location_id","hydrant_id","District","location","description","latitude","longitude","provider","status","Discharge Size","flow_gpm","Pitot psi","Residual psi","static_psi","last_checked","tested_by","shift","issue","alternate_supply","notes"
"31467966","31467966","2","Hydrant","Hydrant","34.94008272","-90.01584224","Horn Lake Water","In Service","","","","","","","","","","",""
"31467967","31467967","2","Hydrant","Hydrant","34.93870453","-90.01527786","Horn Lake Water","In Service","","","","","","","","","","",""
"31467968","31467968","2","Hydrant","Hydrant","34.93539645","-90.01394586","Horn Lake Water","In Service","","","","","","","","","","",""
"31467975","31467975","1","Hydrant","Hydrant","34.96047645","-90.04863587","Horn Lake Water","In Service","","","","","","","","","","",""
"31467976","31467976","1","Hydrant","Hydrant","34.95945645","-90.04676587","Horn Lake Water","In Service","","","","","","","","","","",""
"31467977","31467977","1","Hydrant","Hydrant","34.96105645","-90.04665587","Horn Lake Water","In Service","","","","","","","","","","",""
"31467978","31467978","1","Hydrant","Hydrant","34.96093645","-90.04597587","Horn Lake Water","In Service","","","","","","","","","","",""
"31467979","31467979","1","Hydrant","Hydrant","34.96100645","-90.04495587","Horn Lake Water","In Service","","","","","","","","","","",""
"31467980","31467980","1","Hydrant","Hydrant","34.96175645","-90.04472587","Horn Lake Water","In Service","","","","","","","","","","",""
"31467981","31467981","1","Hydrant","Hydrant","34.96176645","-90.04543587","Horn Lake Water","In Service","","","","","","","","","","",""
"31467982","31467982","1","Hydrant","Hydrant","34.96179646","-90.04615587","Horn Lake Water","In Service","","","","","","","","","","",""
"31467983","31467983","1","Hydrant","Hydrant","34.96253646","-90.04415587","Horn Lake Water","In Service","","","","","","","","","","",""
"31467984","31467984","1","Hydrant","Hydrant","34.96143645","-90.04282587","Horn Lake Water","In Service","","","","","","","","","","",""
"31467985","31467985","1","Hydrant","Hydrant","34.96030645","-90.04488587","Horn Lake Water","In Service","","","","","","","","","","",""
"31467986","31467986","1","Hydrant","Hydrant","34.95966645","-90.04410587","Horn Lake Water","In Service","","","","","","","","","","",""
"31467987","31467987","1","Hydrant","Hydrant","34.96110645","-90.04106587","Horn Lake Water","In Service","","","","","","","","","","",""
"31467988","31467988","1","Hydrant","Hydrant","34.95948645","-90.04168587","Horn Lake Water","In Service","","","","","","","","","","",""
"31467989","31467989","1","Hydrant","Hydrant","34.95864645","-90.04350587","Horn Lake Water","In Service","","","","","","","","","","",""
"31467990","31467990","1","Hydrant","Hydrant","34.95808645","-90.04527587","Horn Lake Water","In Service","","","","","","","","","","",""
"31467991","31467991","1","Hydrant","Hydrant","34.95809645","-90.04671587","Horn Lake Water","In Service","","","","","","","","","","",""
"31467992","31467992","1","Hydrant","Hydrant","34.95722645","-90.04679587","Horn Lake Water","In Service","","","","","","","","","","",""
"31467993","31467993","1","Hydrant","Hydrant","34.95730645","-90.04480587","Horn Lake Water","In Service","","","","","","","","","","",""
"31467994","31467994","1","Hydrant","Hydrant","34.95766645","-90.04283587","Horn Lake Water","In Service","","","","","","","","","","",""
"31467995","31467995","1","Hydrant","Hydrant","34.95824645","-90.04175587","Horn Lake Water","In Service","","","","","","","","","","",""
"31467996","31467996","1","Hydrant","Hydrant","34.95793645","-90.04085587","Horn Lake Water","In Service","","","","","","","","","","",""
"31467997","31467997","1","Hydrant","Hydrant","34.95931645","-90.03957587","Horn Lake Water","In Service","","","","","","","","","","",""
"31467998","31467998","1","Hydrant","Hydrant","34.96014646","-90.04025587","Horn Lake Water","In Service","","","","","","","","","","",""
"31467999","31467999","1","Hydrant","Hydrant","34.96190646","-90.04009587","Horn Lake Water","In Service","","","","","","","","","","",""
"31468000","31468000","1","Hydrant","Hydrant","34.95646645","-90.04359587","Horn Lake Water","In Service","","","","","","","","","","",""
"31468001","31468001","1","Hydrant","Hydrant","34.95561645","-90.04668587","Horn Lake Water","In Service","","","","","","","","","","",""
"31468002","31468002","1","Hydrant","Hydrant","34.95299645","-90.04501587","Horn Lake Water","In Service","","","","","","","","","","",""
"31468003","31468003","1","Hydrant","Hydrant","34.95568645","-90.04315587","Horn Lake Water","In Service","","","","","","","","","","",""
"31468004","31468004","1","Hydrant","Hydrant","34.95503645","-90.04462587","Horn Lake Water","In Service","","","","","","","","","","",""
"31468005","31468005","1","Hydrant","Hydrant","34.95360645","-90.04420587","Horn Lake Water","In Service","","","","","","","","","","",""
"31468006","31468006","1","Hydrant","Hydrant","34.95246645","-90.04331587","Horn Lake Water","In Service","","","","","","","","","","",""
"31468007","31468007","1","Hydrant","Hydrant","34.95329645","-90.04241587","Horn Lake Water","In Service","","","","","","","","","","",""
"31468008","31468008","1","Hydrant","Hydrant","34.95486645","-90.04282587","Horn Lake Water","In Service","","","","","","","","","","",""
"31468009","31468009","1","Hydrant","Hydrant","34.95061645","-90.04226587","Horn Lake Water","In Service","","","","","","","","","","",""
"31468010","31468010","1","Hydrant","Hydrant","34.94849645","-90.04190587","Horn Lake Water","In Service","","","","","","","","","","",""
"31468011","31468011","1","Hydrant","Hydrant","34.94869645","-90.03967587","Horn Lake Water","In Service","","","","","","","","","","",""
"31468012","31468012","1","Hydrant","Hydrant","34.95029645","-90.04069587","Horn Lake Water","In Service","","","","","","","","","","",""
"31468013","31468013","1","Hydrant","Hydrant","34.95162645","-90.03990587","Horn Lake Water","In Service","","","","","","","","","","",""
"31468014","31468014","1","Hydrant","Hydrant","34.95176645","-90.03754587","Horn Lake Water","In Service","","","","","","","","","","",""
"31468015","31468015","1","Hydrant","Hydrant","34.95159645","-90.03625587","Horn Lake Water","In Service","","","","","","","","","","",""
"31468016","31468016","1","Hydrant","Hydrant","34.96155646","-90.03752587","Horn Lake Water","In Service","","","","","","","","","","",""
"31468017","31468017","1","Hydrant","Hydrant","34.96126646","-90.03616587","Horn Lake Water","In Service","","","","","","","","","","",""
"31468018","31468018","1","Hydrant","Hydrant","34.96022645","-90.03575587","Horn Lake Water","In Service","","","","","","","","","","",""
"31468019","31468019","2","Hydrant","Hydrant","34.95930646","-90.03470587","Horn Lake Water","In Service","","","","","","","","","","",""
"31468020","31468020","1","Hydrant","Hydrant","34.95848645","-90.03595587","Horn Lake Water","In Service","","","","","","","","","","",""
"31468021","31468021","1","Hydrant","Hydrant","34.95953645","-90.03769587","Horn Lake Water","In Service","","","","","","","","","","",""
"31468022","31468022","1","Hydrant","Hydrant","34.95773645","-90.03749587","Horn Lake Water","In Service","","","","","","","","","","",""
"31468023","31468023","1","Hydrant","Hydrant","34.95658645","-90.03609587","Horn Lake Water","In Service","","","","","","","","","","",""
"31468024","31468024","2","Hydrant","Hydrant","34.95520645","-90.03430587","Horn Lake Water","In Service","","","","","","","","","","",""
"31468025","31468025","2","Hydrant","Hydrant","34.95721645","-90.03478587","Horn Lake Water","In Service","","","","","","","","","","",""
"31468026","31468026","1","Hydrant","Hydrant","34.95700645","-90.03880587","Horn Lake Water","In Service","","","","","","","","","","",""
"31468027","31468027","1","Hydrant","Hydrant","34.95586645","-90.03775587","Horn Lake Water","In Service","","","","","","","","","","",""
"31468028","31468028","1","Hydrant","Hydrant","34.95517645","-90.03848587","Horn Lake Water","In Service","","","","","","","","","","",""
"31468029","31468029","1","Hydrant","Hydrant","34.95403645","-90.03600587","Horn Lake Water","In Service","","","","","","","","","","",""
"31468030","31468030","2","Hydrant","Hydrant","34.95317645","-90.03438587","Horn Lake Water","In Service","","","","","","","","","","",""
"31468031","31468031","1","Hydrant","Hydrant","34.95296645","-90.03830587","Horn Lake Water","In Service","","","","","","","","","","",""
"31468032","31468032","1","Hydrant","Hydrant","34.95385645","-90.03788587","Horn Lake Water","In Service","","","","","","","","","","",""
"31468033","31468033","1","Hydrant","Hydrant","34.95473645","-90.04036587","Horn Lake Water","In Service","","","","","","","","","","",""
"31468034","31468034","1","Hydrant","Hydrant","34.95330645","-90.03993587","Horn Lake Water","In Service","","","","","","","","","","",""
"31468035","31468035","2","Hydrant","Hydrant","34.94821645","-90.03433587","Horn Lake Water","In Service","","","","","","","","","","",""
"31468036","31468036","1","Hydrant","Hydrant","34.95589645","-90.04557587","Horn Lake Water","In Service","","","","","","","","","","",""
"31468037","31468037","1","Hydrant","Hydrant","34.95414645","-90.04596587","Horn Lake Water","In Service","","","","","","","","","","",""
"31468038","31468038","1","Hydrant","Hydrant","34.95147645","-90.04386587","Horn Lake Water","In Service","","","","","","","","","","",""
"31468039","31468039","1","Hydrant","Hydrant","34.94907645","-90.04306587","Horn Lake Water","In Service","","","","","","","","","","",""
